prd_name,prd_path,requirement_id,requirement_description,status,user_doc_required,user_doc_present,user_doc_filename,dev_doc_required,dev_doc_present,dev_doc_filename,comments
PRD-004: Network Intelligence and Automated Discovery,docs/prds/PRD-004-network-intelligence-discovery.md,FR-001,Automated network scanning and device discovery,not_done,no,-,yes,no,-,PRD approved but no requirement table with IDs; network.py CLI exists but full implementation unclear
PRD-004: Network Intelligence and Automated Discovery,docs/prds/PRD-004-network-intelligence-discovery.md,FR-002,Database integration - populate PostgreSQL device inventory,not_done,no,-,yes,no,-,Database schema referenced but no evidence of scan-to-DB pipeline
PRD-004: Network Intelligence and Automated Discovery,docs/prds/PRD-004-network-intelligence-discovery.md,FR-003,CLI commands (inv network scan/diff/import),partial,no,-,yes,yes,cli/src/inventory/commands/network.py,network.py exists; full command coverage unknown
PRD-004: Network Intelligence and Automated Discovery,docs/prds/PRD-004-network-intelligence-discovery.md,FR-004,MAC vendor lookup and device identification,not_done,no,-,yes,no,-,No evidence of MAC vendor lookup implementation
PRD-004: Network Intelligence and Automated Discovery,docs/prds/PRD-004-network-intelligence-discovery.md,FR-005,Change detection and alerting,not_done,yes,-,yes,no,-,No evidence of network change alerting
PRD-005: Infrastructure Operations,docs/prds/PRD-005-infrastructure-operations.md,MON-01,Check if Docker Desktop is running,done,no,-,yes,yes,scripts/health-check.ps1,Implemented in health-check.ps1
PRD-005: Infrastructure Operations,docs/prds/PRD-005-infrastructure-operations.md,MON-02,Check if inventory-db container is running,done,no,-,yes,yes,scripts/health-check.ps1,Implemented in health-check.ps1
PRD-005: Infrastructure Operations,docs/prds/PRD-005-infrastructure-operations.md,MON-03,Check if inventory-db container is healthy (pg_isready),done,no,-,yes,yes,scripts/health-check.ps1,Implemented in health-check.ps1
PRD-005: Infrastructure Operations,docs/prds/PRD-005-infrastructure-operations.md,MON-04,Check if database accepts connections (SELECT 1),done,no,-,yes,yes,scripts/health-check.ps1,Implemented in health-check.ps1
PRD-005: Infrastructure Operations,docs/prds/PRD-005-infrastructure-operations.md,MON-05,Check if inventory-pgadmin container is running,done,no,-,yes,yes,scripts/health-check.ps1,P1 - implemented
PRD-005: Infrastructure Operations,docs/prds/PRD-005-infrastructure-operations.md,MON-06,Send email notification on any failure,done,no,-,yes,yes,scripts/health-check.ps1,Email alerting configured
PRD-005: Infrastructure Operations,docs/prds/PRD-005-infrastructure-operations.md,MON-07,Run health checks every 5 minutes,done,no,-,yes,yes,scripts/install-health-check-task.ps1,Windows Task Scheduler task
PRD-005: Infrastructure Operations,docs/prds/PRD-005-infrastructure-operations.md,MON-08,Log all check results to file,done,no,-,yes,yes,scripts/health-check.ps1,P1 - log output
PRD-005: Infrastructure Operations,docs/prds/PRD-005-infrastructure-operations.md,AUTO-01,Docker Desktop starts on Windows login,done,yes,yes,docs/DR-RUNBOOK.md,yes,yes,docs/DR-RUNBOOK.md,Docker Desktop auto-start configured
PRD-005: Infrastructure Operations,docs/prds/PRD-005-infrastructure-operations.md,AUTO-02,Containers start when Docker is ready,done,no,-,yes,yes,docker-compose.yml,restart: unless-stopped policy
PRD-005: Infrastructure Operations,docs/prds/PRD-005-infrastructure-operations.md,AUTO-03,Verify services are healthy after startup,done,no,-,yes,yes,scripts/verify-startup.ps1,Startup verification script exists
PRD-005: Infrastructure Operations,docs/prds/PRD-005-infrastructure-operations.md,AUTO-04,Log startup events,done,no,-,yes,yes,scripts/verify-startup.ps1,P1 - logging in verify-startup.ps1
